allowEditableEmbedding	allowOutlines	allowPDFEmbedding	fontFamily	fontStyleName	fontStyleNameNative	fontType	name	fullName	fullNameNative	postscriptName
True	True	True	ヒラギノ角ゴ Std	W8	W8	k.OpenType_CID	ヒラギノ角ゴ Std	W8	Hiragino Kaku Gothic Std W8	ヒラギノ角ゴ Std W8	
True	True	True	ヒラギノ角ゴ StdN	W8	W8	k.OpenType_CID	ヒラギノ角ゴ StdN	W8	Hiragino Kaku Gothic StdN W8	ヒラギノ角ゴ StdN W8	
True	True	True	ヒラギノ角ゴシック	W0	W0	k.OpenType_CID	ヒラギノ角ゴシック	W0	Hiragino Sans W0	ヒラギノ角ゴシック W0	
True	True	True	ヒラギノ角ゴシック	W1	W1	k.OpenType_CID	ヒラギノ角ゴシック	W1	Hiragino Sans W1	ヒラギノ角ゴシック W1	
True	True	True	ヒラギノ角ゴシック	W2	W2	k.OpenType_CID	ヒラギノ角ゴシック	W2	Hiragino Sans W2	ヒラギノ角ゴシック W2	
True	True	True	ヒラギノ角ゴシック	W3	W3	k.OpenType_CID	ヒラギノ角ゴシック	W3	Hiragino Sans W3	ヒラギノ角ゴシック W3	
True	True	True	ヒラギノ角ゴシック	W4	W4	k.OpenType_CID	ヒラギノ角ゴシック	W4	Hiragino Sans W4	ヒラギノ角ゴシック W4	
True	True	True	ヒラギノ角ゴシック	W5	W5	k.OpenType_CID	ヒラギノ角ゴシック	W5	Hiragino Sans W5	ヒラギノ角ゴシック W5	
True	True	True	ヒラギノ角ゴシック	W6	W6	k.OpenType_CID	ヒラギノ角ゴシック	W6	Hiragino Sans W6	ヒラギノ角ゴシック W6	
True	True	True	ヒラギノ角ゴシック	W7	W7	k.OpenType_CID	ヒラギノ角ゴシック	W7	Hiragino Sans W7	ヒラギノ角ゴシック W7	
True	True	True	ヒラギノ角ゴシック	W8	W8	k.OpenType_CID	ヒラギノ角ゴシック	W8	Hiragino Sans W8	ヒラギノ角ゴシック W8	
True	True	True	ヒラギノ角ゴシック	W9	W9	k.OpenType_CID	ヒラギノ角ゴシック	W9	Hiragino Sans W9	ヒラギノ角ゴシック W9	
True	True	True	メイリオ	Regular	レギュラー	k.TrueType	メイリオ	レギュラー	Meiryo	メイリオ	
True	True	True	メイリオ	Italic	イタリック	k.TrueType	メイリオ	イタリック	Meiryo Italic	メイリオ イタリック	
True	True	True	小塚ゴシック Pr6N	EL	EL	k.OpenType_CID	小塚ゴシック Pr6N	EL	Kozuka Gothic Pr6N EL	小塚ゴシック Pr6N EL	
True	True	True	小塚ゴシック Pr6N	R	R	k.OpenType_CID	小塚ゴシック Pr6N	R	Kozuka Gothic Pr6N R	小塚ゴシック Pr6N R	
True	True	True	小塚ゴシック Pr6N	M	M	k.OpenType_CID	小塚ゴシック Pr6N	M	Kozuka Gothic Pr6N M	小塚ゴシック Pr6N M	
True	True	True	小塚ゴシック Pr6N	B	B	k.OpenType_CID	小塚ゴシック Pr6N	B	Kozuka Gothic Pr6N B	小塚ゴシック Pr6N B	
True	True	True	小塚ゴシック Pr6N	H	H	k.OpenType_CID	小塚ゴシック Pr6N	H	Kozuka Gothic Pr6N H	小塚ゴシック Pr6N H	
True	True	True	小塚ゴシック Pro	R	R	k.OpenType_CID	小塚ゴシック Pro	R	Kozuka Gothic Pro R	小塚ゴシック Pro R	
True	True	True	小塚ゴシック Pro	M	M	k.OpenType_CID	小塚ゴシック Pro	M	Kozuka Gothic Pro M	小塚ゴシック Pro M	
True	True	True	小塚ゴシック Pro	B	B	k.OpenType_CID	小塚ゴシック Pro	B	Kozuka Gothic Pro B	小塚ゴシック Pro B	
True	True	True	小塚ゴシック Pro	H	H	k.OpenType_CID	小塚ゴシック Pro	H	Kozuka Gothic Pro H	小塚ゴシック Pro H	
True	True	True	小塚明朝 Pr6N	EL	EL	k.OpenType_CID	小塚明朝 Pr6N	EL	KozMinPr6N-ExtraLight	小塚明朝 Pr6N EL	
True	True	True	小塚明朝 Pr6N	L	L	k.OpenType_CID	小塚明朝 Pr6N	L	Kozuka Mincho Pr6N L	小塚明朝 Pr6N L	
True	True	True	小塚明朝 Pr6N	R	R	k.OpenType_CID	小塚明朝 Pr6N	R	Kozuka Mincho Pr6N R	小塚明朝 Pr6N R	
True	True	True	小塚明朝 Pro	R	R	k.OpenType_CID	小塚明朝 Pro	R	Kozuka Mincho Pro R	小塚明朝 Pro R	
